Participant	Statement	Accuracy	Confidence_level	Confidence_type	Free_cued_recall
1	1	1	100.0	1.0	1
1	10	1			1
1	11	1			1
1	12	1			1
1	13	1	100.0	1.0	1
1	14	1	40.0	1.0	2
1	15	0	20.0	1.0	2
1	16	1	100.0	1.0	2
1	17	1	100.0	1.0	2
1	18	1	80.0	1.0	2
1	19	1	100.0	1.0	2
1	2	1	100.0	1.0	1
1	20	1	40.0	1.0	2
1	21	1			2
1	22	1	100.0	1.0	2
1	23	0			2
1	24	1	100.0	1.0	2
1	25	0			2
1	26	1	100.0	2.0	2
1	27	1	80.0	1.0	2
1	28	1			2
1	29	1	80.0	1.0	2
1	3	1	100.0	1.0	1
1	30	1	80.0	2.0	2
1	31	1			2
1	32	1	80.0	1.0	2
1	33	1	100.0	1.0	2
1	34	1	100.0	1.0	2
1	35	0	60.0	1.0	2
1	36	1			2
1	37	1	100.0	2.0	2
1	39	1			2
1	4	1	100.0	1.0	1
1	40	1	40.0	1.0	2
1	41	1	40.0	2.0	2
1	43	0			2
1	44	0			2
1	45	0			2
1	46	0			2
1	47	1			2
1	48	0			2
1	49	1			2
1	5	1			1
1	50	1			2
1	51	1	100.0	2.0	2
1	52	1	80.0	1.0	2
1	53	1	80.0	1.0	2
1	54	1	100.0	1.0	2
1	55	1			2
1	56	0	100.0	2.0	2
1	57	1	40.0	2.0	2
1	58	1	100.0	2.0	2
1	59	1	100.0	1.0	2
1	6	1	100.0	1.0	1
1	60	1	100.0	2.0	2
1	61	1	60.0	1.0	2
1	62	1	100.0	1.0	2
1	63	0	40.0	1.0	2
1	64	0	40.0	2.0	2
1	65	0	60.0	1.0	2
1	66	1			2
1	67	1	60.0	1.0	2
1	68	1	100.0	1.0	2
1	69	1			2
1	7	1			1
1	70	1	80.0	1.0	2
1	71	1	100.0	1.0	2
1	72	0			2
1	75	1	100.0	2.0	2
1	77	1	100.0	1.0	2
1	79	0	100.0	1.0	2
1	8	1	100.0	1.0	1
1	80	1	100.0	1.0	2
1	81	1			2
1	89	1	20.0	2.0	2
1	9	1	100.0	1.0	1
1	90	1			2
1	94	0			2
1	96	0	100.0	1.0	2
1	98	1			2
10	1	1	20.0	1.0	1
10	10	0			1
10	11	1			1
10	12	1	100.0	1.0	1
10	13	1	100.0	1.0	1
10	14	1	100.0	1.0	1
10	15	0	100.0	1.0	1
10	16	1	100.0	1.0	1
10	17	0			1
10	18	1			2
10	19	0	100.0	2.0	2
10	2	1	100.0	1.0	1
10	20	1	100.0	2.0	2
10	21	1			2
10	22	1			2
10	23	0	80.0	1.0	2
10	24	0	80.0	1.0	2
10	25	0	100.0	1.0	2
10	26	1			2
10	27	1	60.0	1.0	2
10	28	1			2
10	29	0			2
10	3	1	80.0	1.0	1
10	31	1	80.0	2.0	2
10	32	0	80.0	2.0	2
10	33	1	100.0	2.0	2
10	34	1			2
10	35	1	80.0	2.0	2
10	36	1			2
10	37	1	100.0	1.0	2
10	38	1	100.0	1.0	2
10	39	1	100.0	2.0	2
10	4	0	100.0	1.0	1
10	41	0	100.0	1.0	2
10	42	0	100.0	1.0	2
10	43	1	100.0	1.0	2
10	44	1			2
10	45	0	100.0	1.0	2
10	46	0			2
10	47	0			2
10	48	1	100.0	2.0	2
10	49	1	100.0	1.0	2
10	5	1	100.0	1.0	1
10	50	1	100.0	1.0	2
10	51	1	100.0	1.0	2
10	52	0	100.0	2.0	2
10	53	1	100.0	1.0	2
10	54	1	80.0	1.0	2
10	55	1	100.0	2.0	2
10	56	1			2
10	57	1			2
10	59	0			2
10	6	1			1
10	60	0			2
10	61	0	80.0	1.0	2
10	62	1	100.0	2.0	2
10	63	0			2
10	64	1	60.0	1.0	2
10	65	0			2
10	66	1			2
10	69	1			2
10	7	1	100.0	1.0	1
10	70	1	100.0	1.0	2
10	71	1			2
10	74	0			2
10	75	1	80.0	1.0	2
10	76	1	40.0	1.0	2
10	77	1			2
10	78	1			2
10	79	1	100.0	1.0	2
10	8	1	100.0	1.0	1
10	80	1	80.0	1.0	2
10	81	0	40.0	1.0	2
10	82	1			2
10	83	1			2
10	84	1	100.0	2.0	2
10	85	1			2
10	86	1	80.0	1.0	2
10	87	1			2
10	88	1	100.0	1.0	2
10	89	1	100.0	1.0	2
10	9	1	100.0	1.0	1
11	1	1			1
11	10	0			2
11	11	1	60.0	1.0	2
11	12	1	100.0	1.0	2
11	13	0	60.0	1.0	2
11	14	1	80.0	1.0	2
11	15	1	100.0	1.0	2
11	16	1			2
11	17	1	100.0	1.0	2
11	18	1	100.0	1.0	2
11	19	1	80.0	1.0	2
11	2	1	100.0	1.0	1
11	20	1	60.0	1.0	2
11	21	1	100.0	1.0	2
11	22	1	60.0	1.0	2
11	23	0	100.0	1.0	2
11	24	1			2
11	25	1			2
11	26	1	100.0	2.0	2
11	27	1			2
11	28	1	100.0	1.0	2
11	29	1			2
11	3	1			1
11	30	1	80.0	1.0	2
11	31	0	60.0	1.0	2
11	32	0	40.0	1.0	2
11	33	1	100.0	1.0	2
11	34	1	100.0	1.0	2
11	35	1			2
11	36	1	100.0	1.0	2
11	37	1	100.0	1.0	2
11	38	1	80.0	1.0	2
11	39	1			2
11	4	1			1
11	40	0	80.0	1.0	2
11	41	0	40.0	1.0	2
11	42	0	20.0	1.0	2
11	43	1	20.0	1.0	2
11	5	1	100.0	1.0	1
11	6	1			1
11	7	1	100.0	2.0	2
11	8	1	80.0	1.0	2
11	9	1			2
12	1	1			1
12	10	1	100.0	1.0	1
12	11	1			1
12	12	1	100.0	1.0	2
12	13	1	100.0	2.0	2
12	14	1	100.0	2.0	2
12	15	1	100.0	1.0	2
12	16	1	40.0	1.0	2
12	17	0	60.0	1.0	2
12	18	1	100.0	1.0	2
12	19	1			2
12	19,5	1	100.0	1.0	2
12	2	1	100.0	1.0	1
12	20	1	80.0	1.0	2
12	20,5	1	60.0	1.0	2
12	21	0	20.0	1.0	2
12	22	1	100.0	2.0	2
12	23	0	0.0	1.0	2
12	24	1	80.0	1.0	2
12	25	0			2
12	26	1	20.0	1.0	2
12	27	1	100.0	1.0	2
12	28	1	100.0	1.0	2
12	29	0	60.0	1.0	2
12	3	1			1
12	30	1	100.0	2.0	2
12	31	1	100.0	2.0	2
12	32	0			2
12	33	1	80.0	1.0	2
12	34	1	80.0	2.0	2
12	35	1	80.0	1.0	2
12	36	1			2
12	37	1	80.0	1.0	2
12	38	0	100.0	1.0	2
12	39	0	40.0	1.0	2
12	4	0			1
12	40	1			2
12	41	1	100.0	1.0	2
12	42	0	40.0	1.0	2
12	43	1			2
12	44	1			2
12	45	1			2
12	46	1			2
12	47	1	100.0	1.0	2
12	48	1	100.0	2.0	2
12	49	0	60.0	1.0	2
12	5	1			1
12	50	1	100.0	1.0	2
12	51	1	20.0	1.0	2
12	52	0	80.0	1.0	2
12	53	1			2
12	54	1			2
12	55	1			2
12	56	0	0.0	1.0	2
12	57	1	100.0	2.0	2
12	58	1	100.0	1.0	2
12	59	1			2
12	6	1	100.0	1.0	1
12	60	1	20.0	1.0	2
12	61	0			2
12	7	0			1
12	8	1	100.0	1.0	1
12	9	1			1
